Mod_Q	Intensity	Err_I	Sigma_Qunix
9.3058	222.783	2.24026	0.00210972
10.364500000000001	146.089	1.44826	0.00212429
11.5455	97.5701	1.12362	0.00214801
12.655700000000001	71.2656	0.939488	0.00216441
13.753799999999998	56.2779	0.796827	0.00215303
14.773100000000001	44.1211	0.725729	0.00219117
15.7239	36.5476	0.630108	0.0021914
16.827	28.2345	0.508046	0.00220537
17.950599999999998	23.0717	0.458001	0.00222368
19.1079	19.4553	0.400766	0.00224319
20.2853	15.9039	0.357109	0.00225833
21.4485	14.1196	0.336418	0.00227357
22.573800000000006	11.7332	0.313459	0.00229806
23.619600000000002	10.6834	0.304197	0.00230726
24.699999999999996	10.0995	0.270059	0.00233967
25.8615	8.31926	0.247169	0.00235456
27.0162	8.0079	0.237886	0.00236299
28.227899999999998	6.87845	0.213009	0.00239661
29.4251	6.09905	0.209804	0.00240821
30.623800000000003	5.26061	0.187969	0.00243557
31.8677	5.24621	0.18503	0.00245929
33.063	4.56979	0.180184	0.00247995
34.2359	4.40738	0.168377	0.00249994
35.4869	3.98206	0.155165	0.00253014
36.741099999999996	3.45718	0.152429	0.00254821
37.972899999999996	3.277	0.14275	0.00257596
39.274499999999996	3.08576	0.135543	0.00259608
40.6205	2.69641	0.127434	0.0026251
41.918200000000006	2.59198	0.129132	0.00264274
43.1924	2.44704	0.119902	0.00266857
44.5274	2.26186	0.115136	0.00269201
45.8594	2.22184	0.112485	0.00271412
47.183099999999996	1.86096	0.106897	0.00273531
48.53940000000001	1.92233	0.102561	0.00275937
49.927600000000005	1.86024	0.0984748	0.00277996
51.3521	1.7827	0.0931882	0.00279783
52.7947	1.80872	0.0916728	0.0028191
54.2244	1.77834	0.0893477	0.00284235
55.664699999999996	1.64643	0.0854094	0.0028631
57.116	1.65832	0.0833574	0.00288757
58.5942	1.55532	0.0792555	0.00290692
60.166900000000005	1.51553	0.0733681	0.00292325
61.7501	1.39353	0.0724048	0.00294589
63.3027	1.33723	0.0706853	0.00296697
64.84270000000001	1.2411	0.0681834	0.00298907
66.45049999999999	1.38283	0.0644916	0.00301564
68.09060000000001	1.36904	0.0631516	0.00308702
69.7541	1.18164	0.0593199	0.00313274
71.4684	1.13773	0.0564287	0.00320515
73.17419999999998	1.12359	0.0549155	0.0032811
74.88749999999999	1.13349	0.0539107	0.00335723
76.6467	1.15553	0.0509744	0.00339959
78.43400000000001	1.01154	0.0488371	0.00347679
80.25909999999999	1.02485	0.0464789	0.00355561
82.09230000000002	1.00156	0.0452375	0.00363663
83.94440000000002	1.08797	0.0445487	0.00368098
85.8176	0.954017	0.0413603	0.00376278
87.78030000000001	0.936706	0.0395149	0.00384842
89.74749999999999	0.878596	0.0377561	0.00393418
91.77610000000001	0.921978	0.0367427	0.00402251
93.78169999999999	0.916147	0.0360138	0.00407029
95.86550000000001	0.854274	0.0330624	0.00415944
98.04770000000002	0.81012	0.0318458	0.00425177
100.16999999999999	0.829205	0.0314391	0.00434145
102.315	0.755364	0.0294138	0.00443429
104.54799999999999	0.743012	0.0282601	0.0044897
106.82100000000003	0.746243	0.0270783	0.0045871
109.156	0.669864	0.0259446	0.00468711
111.495	0.620318	0.0252269	0.00478724
113.81700000000002	0.606398	0.0249388	0.0048866
116.20600000000002	0.615539	0.0239499	0.00498877
118.68300000000002	0.562196	0.0230719	0.0050524
121.195	0.530292	0.0224645	0.00515866
123.733	0.590489	0.0224612	0.00526585
126.34	0.534342	0.0211898	0.00537562
128.899	0.506733	0.0225682	0.00548288
131.628	0.502499	0.0258632	0.00559417
134.35500000000002	0.501352	0.0288698	0.00571003
137.119	0.465448	0.031917	0.00582741
139.932	0.529593	0.0383723	0.00590018
142.787	0.478542	0.0461099	0.00602045
145.733	0.483062	0.0562979	0.00616671
148.44799999999998	0.488029	0.0641997	0.00642231
152.652	0.415549	0.0184893	0.00666088
155.38	0.424915	0.0188403	0.00677387
159.371	0.410788	0.0152837	0.0069043
162.349	0.416076	0.0165731	0.00702481
166.34699999999998	0.395514	0.0128593	0.00719405
169.76599999999996	0.39365	0.0148747	0.00733795
173.558	0.372042	0.011516	0.00746802
177.27399999999994	0.369676	0.0132344	0.00762088
180.94199999999998	0.390095	0.0106751	0.00776954
185.45600000000002	0.381615	0.0106726	0.00794657
189.08900000000003	0.39048	0.0109378	0.00809974
193.336	0.381532	0.00974378	0.0082785
197.315	0.361924	0.0101053	0.00844512
201.451	0.366751	0.00885247	0.00861814
206.07100000000003	0.366128	0.00909214	0.00877582
210.13599999999997	0.350887	0.00913785	0.00894136
214.62700000000007	0.349226	0.00821528	0.00911838
219.521	0.354292	0.00841147	0.00931802
223.65200000000002	0.347262	0.00877264	0.0094914
228.343	0.354153	0.00782933	0.0096567
233.44899999999996	0.350973	0.00767512	0.00986935
238.215	0.336416	0.00805815	0.0100673
242.855	0.338608	0.00746472	0.0102597
248.219	0.341978	0.00722745	0.0104808
253.523	0.344866	0.00725763	0.0106975
258.346	0.341185	0.00761342	0.0108901
263.438	0.339228	0.0068594	0.011091
269.055	0.331004	0.00675628	0.0113259
274.78999999999996	0.335421	0.00654605	0.0115272
280.466	0.336712	0.00664484	0.0117634
285.853	0.324663	0.00665081	0.0119871
291.366	0.336104	0.00630548	0.0122162
297.468	0.336199	0.00603862	0.0124691
303.636	0.336548	0.00608046	0.0127242
309.839	0.335496	0.00584162	0.0129799
316.163	0.3315	0.00583896	0.0132396
322.475	0.33075	0.00572712	0.013497
328.949	0.335872	0.0055461	0.0137555
335.5540000000001	0.340135	0.00555271	0.0140198
342.267	0.325807	0.0053125	0.0142631
349.075	0.319606	0.00529733	0.0145458
355.959	0.330332	0.00510801	0.0148315
363.115	0.332897	0.00506018	0.0151283
370.405	0.333938	0.00494135	0.0154306
377.81	0.330883	0.00487166	0.0157374
385.23699999999997	0.323654	0.00477855	0.016045
392.801	0.334138	0.0047141	0.0163579
400.533	0.337385	0.00464368	0.0166776
408.35900000000004	0.33739	0.00458201	0.0170007
416.323	0.33441	0.00447681	0.0172851
424.68399999999997	0.342797	0.00426345	0.0176282
433.26300000000003	0.340985	0.0042807	0.0179788
441.7099999999999	0.344463	0.00426513	0.0183221
450.249	0.341154	0.00417256	0.0186635
459.148	0.343588	0.00399278	0.0190182
468.23300000000006	0.343112	0.00398195	0.0193941
477.36	0.357494	0.00398946	0.0197716
486.79699999999997	0.360828	0.00382426	0.020162
496.45000000000005	0.354418	0.00377517	0.0205612
506.181	0.357795	0.00376482	0.0209636
515.9570000000001	0.359565	0.00364092	0.0213678
526.026	0.35856	0.00361876	0.021784
536.3530000000001	0.364511	0.00346528	0.0222109
546.951	0.368231	0.0035137	0.0226489
557.4789999999999	0.370927	0.00342477	0.0230839
568.525	0.370599	0.00335752	0.0235402
579.4899999999999	0.372841	0.00340067	0.023993
590.744	0.376936	0.00326743	0.0244577
602.4469999999999	0.375768	0.00324847	0.0249408
614.21	0.369816	0.00321455	0.0254261
625.924	0.36991	0.00324491	0.0259092
638.063	0.369159	0.00312198	0.0263755
650.627	0.361608	0.00310932	0.0268922
663.3629999999999	0.367677	0.00308278	0.0274155
676.3120000000001	0.359378	0.0030744	0.027947
689.4130000000001	0.359574	0.00304237	0.0284839
702.781	0.348882	0.00298204	0.0290305
716.336	0.346879	0.00295685	0.0295825
730.278	0.340727	0.00285912	0.0301446
744.607	0.339777	0.00283662	0.0307181
759.0339999999999	0.337999	0.00283221	0.0313132
773.7139999999999	0.329832	0.00276277	0.0318673
787.4029999999999	0.328348	0.00322076	0.032431
797.7300000000001	0.300583	0.0133257	0.0328563
